svofps_id,wavelength [Hz],wavelength [Angstrom],color,reference_flux,sncosmo_name,sncosmo_aliases,legacy_aliases,label,effective_width [Hz]
GAIA/GAIA3.Grvs,349700000000000.0,8578.76,black,3.481e-07,gaia::grvs,,,GAIA/Grvs,9585670000000.0
GOTO/GOTO.B,649000000000000.0,4622.88,black,3.771e-06,gotob,,,GOTO/B,111724000000000.0
GOTO/GOTO.G,558200000000000.0,5374.54,black,3.255e-06,gotog,,,GOTO/G,93184100000000.0
GOTO/GOTO.L,543100000000000.0,5523.78,black,8.027e-06,gotol,,,GOTO/L,213237000000000.0
GOTO/GOTO.R,466800000000000.0,6426.84,black,2.51e-06,gotor,,,GOTO/R,65218100000000.0
SkyMapper/SkyMapper.u,858800000000000.0,3493.36,black,3.752e-06,skymapperu,,,SkyMapper/u,104345000000000.0
SkyMapper/SkyMapper.v,782100000000000.0,3835.93,black,2.366e-06,skymapperv,,,SkyMapper/v,782100000000000.0
SkyMapper/SkyMapper.g,591100000000000.0,5075.19,black,6.263e-06,skymapperg,,,SkyMapper/g,170453000000000.0
SkyMapper/SkyMapper.r,488700000000000.0,6138.44,black,4.143e-06,skymapperr,,,SkyMapper/r,120539000000000.0
SkyMapper/SkyMapper.i,386200000000000.0,7767.98,black,2.264e-06,skymapperi,,,SkyMapper/i,59580400000000.0
SkyMapper/SkyMapper.z,328000000000000.0,9145.99,black,1.515e-06,skymapperz,,,SkyMapper/z,39772700000000.0
LaSilla/GROND.g,662656000000000.0,4527.23762,black,7.46875e-06,grond::g,,,GROND/g,200964000000000.0
LaSilla/GROND.r,486935000000000.0,6160.98677,black,4.54945e-06,grond::r,,,GROND/r,123287000000000.0
LaSilla/GROND.i,393522000000000.0,7623.45714,black,1.77334e-06,grond::i,,,GROND/i,48652400000000.0
LaSilla/GROND.z,335271000000000.0,8947.99564,black,1.74805e-06,grond::z,,,GROND/z,47896900000000.0
LaSilla/GROND.J,243222000000000.0,12334.41211,black,1.65587e-06,grond::J,,,GROND/J,45209700000000.0
LaSilla/GROND.H,182844000000000.0,16407.47335,black,1.07394e-06,grond::H,,,GROND/H,29386000000000.0
LaSilla/GROND.K,138611000000000.0,21643.31551,black,7.07469e-07,grond::K,,,GROND/K,19388800000000.0
LaSilla/EFOSC.ESO782,586549000000000.0,5114.66331,black,3.30207e-06,efosc2::g,,,EFOSC/g,90401100000000.0
LaSilla/EFOSC.ESO784,449277000000000.0,6677.39711,black,2.34201e-06,efosc2::r,,,EFOSC/r,64171300000000.0
LaSilla/EFOSC.ESO705,375789000000000.0,7983.20082,black,2.43536e-06,efosc2::i,,,EFOSC/i,66545400000000.0
Euclid/VIS.vis,422300000000000.0,7103.37,black,7.577e-06,euclid::VIS,euclid::vis,,EUCLID/VIS,199711000000000.0
Euclid/NISP.Y,278154000000000.0,10785.39095,black,2.21005e-06,euclid::Y,,,EUCLID/Y,60154500000000.0
Euclid/NISP.J,220254000000000.0,13620.63423,black,2.12292e-06,euclid::J,,,EUCLID/J,57471400000000.0
Euclid/NISP.H,169983000000000.0,17648.79942,black,1.62313e-06,euclid::H,,,EUCLID/H,43954800000000.0
WISE/WISE.W1,89482800000000.0,33526.0,black,6.48523e-07,wise::W1,,,WISE/W1,17686300000000.0
WISE/WISE.W2,65177700000000.0,46028.0,black,5.42857e-07,wise::W2,,,WISE/W2,14759000000000.0
WISE/WISE.W3,25949800000000.0,115608.0,black,4.75685e-07,wise::W3,,,WISE/W3,12357900000000.0
WISE/WISE.W4,13581900000000.0,220883.0,black,9.23729e-08,wise::W4,,,WISE/W4,2522080000000.0
